V5,V2
-0.2,0.005
-0.2,0.005
-0.2,0.005
-0.2,0.005
-0.2,0.005
-0.2,0.005
-0.2,0.005
-0.2,0.005
-0.19,0.005
-0.175,0.005
-0.19,0.005
-0.205,-0.005
-0.21,-0.005
-0.2,0.01
-0.195,-0.01
-0.21,-0.01
-0.23,-0.02
-0.235,-0.035
-0.245,-0.025
-0.235,-0.01
-0.23,-0.03
-0.23,-0.04
-0.245,-0.05
-0.27,-0.06
-0.26,-0.045
-0.24,-0.035
-0.225,-0.055
-0.22,-0.065
-0.225,-0.075
-0.225,-0.095
-0.225,-0.085
-0.225,-0.075
-0.22,-0.085
-0.235,-0.09
-0.26,-0.1
-0.26,-0.12
-0.26,-0.105
-0.26,-0.1
-0.255,-0.105
-0.255,-0.125
-0.26,-0.135
-0.26,-0.145
-0.265,-0.13
-0.25,-0.11
-0.24,-0.13
-0.255,-0.14
-0.265,-0.15
-0.28,-0.15
-0.26,-0.155
-0.255,-0.14
-0.25,-0.15
-0.245,-0.15
-0.25,-0.175
-0.255,-0.17
-0.245,-0.155
-0.24,-0.155
-0.25,-0.155
-0.245,-0.17
-0.265,-0.18
-0.27,-0.175
-0.25,-0.165
-0.25,-0.15
-0.245,-0.16
-0.25,-0.16
-0.255,-0.15
-0.255,-0.15
-0.24,-0.14
-0.245,-0.125
-0.265,-0.125
-0.26,-0.13
-0.27,-0.125
-0.28,-0.135
-0.28,-0.125
-0.265,-0.115
-0.265,-0.125
-0.26,-0.135
-0.265,-0.135
-0.255,-0.14
-0.245,-0.135
-0.23,-0.13
-0.23,-0.145
-0.235,-0.155
-0.23,-0.165
-0.235,-0.185
-0.215,-0.195
-0.19,-0.18
-0.175,-0.19
-0.175,-0.2
-0.195,-0.21
-0.225,-0.22
-0.225,-0.205
-0.225,-0.215
-0.23,-0.225
-0.215,-0.235
-0.225,-0.255
-0.225,-0.25
-0.205,-0.245
-0.165,-0.225
-0.135,-0.23
-0.135,-0.22
-0.145,-0.22
-0.165,-0.23
-0.17,-0.21
-0.17,-0.205
-0.185,-0.215
-0.205,-0.195
-0.225,-0.16
-0.23,-0.08
-0.195,0.145
-0.155,0.53
-0.12,0.805
-0.07,0.735
-0.005,0.485
0.215,0.285
0.575,0.24
0.845,0.22
0.8,0.155
0.525,0.1
0.275,0.035
0.18,-0.065
0.195,-0.155
0.23,-0.27
0.255,-0.415
0.28,-0.595
0.285,-0.765
0.3,-0.945
0.32,-1.06
0.34,-1.155
0.355,-1.24
0.345,-1.345
0.33,-1.455
0.32,-1.605
0.34,-1.755
0.38,-1.93
0.4,-2.1
0.41,-2.235
0.395,-2.36
0.365,-2.49
0.335,-2.595
0.31,-2.7
0.26,-2.79
0.195,-2.86
0.125,-2.93
0.05,-3.005
-0.035,-3.045
-0.13,-3.065
-0.25,-3.095
-0.355,-3.13
-0.42,-3.155
-0.435,-3.155
-0.395,-3.145
-0.38,-3.095
-0.39,-3.03
-0.405,-2.955
-0.44,-2.825
-0.465,-2.69
-0.47,-2.525
-0.46,-2.345
-0.435,-2.15
-0.42,-1.94
-0.405,-1.71
-0.38,-1.475
-0.34,-1.24
-0.31,-0.995
-0.295,-0.8
-0.305,-0.61
-0.31,-0.445
-0.32,-0.28
-0.32,-0.085
-0.31,0.065
-0.31,0.22
-0.305,0.35
-0.29,0.46
-0.29,0.555
-0.265,0.635
-0.26,0.69
-0.24,0.74
-0.245,0.775
-0.24,0.825
-0.235,0.85
-0.215,0.905
-0.2,0.945
-0.195,0.97
-0.205,1.005
-0.215,1.045
-0.2,1.07
-0.2,1.125
-0.19,1.17
-0.19,1.195
-0.19,1.235
-0.185,1.25
-0.195,1.305
-0.185,1.355
-0.175,1.4
-0.165,1.435
-0.17,1.465
-0.17,1.505
-0.16,1.55
-0.15,1.605
-0.14,1.65
-0.135,1.68
-0.135,1.71
-0.15,1.73
-0.15,1.78
-0.14,1.83
-0.13,1.865
-0.12,1.89
-0.12,1.9
-0.115,1.92
-0.115,1.93
-0.1,1.95
-0.09,1.975
-0.085,1.955
-0.08,1.96
-0.09,1.955
-0.09,1.94
-0.08,1.945
-0.06,1.925
-0.06,1.895
-0.05,1.855
-0.045,1.82
-0.07,1.78
-0.055,1.76
-0.055,1.715
-0.04,1.655
-0.04,1.605
-0.045,1.535
-0.05,1.47
-0.05,1.43
-0.05,1.36
-0.05,1.3
-0.05,1.235
-0.05,1.155
-0.065,1.085
-0.065,1.03
-0.065,0.98
-0.07,0.91
-0.07,0.835
-0.09,0.76
-0.105,0.715
-0.105,0.655
-0.105,0.615
-0.11,0.555
-0.11,0.495
-0.14,0.445
-0.15,0.4
-0.15,0.365
-0.155,0.325
-0.15,0.275
-0.155,0.235
-0.185,0.185
-0.185,0.16
-0.18,0.15
-0.185,0.135
-0.175,0.1
-0.19,0.075
-0.205,0.045
-0.225,0.02
-0.22,0.03
-0.205,0.02
-0.2,0.0
-0.215,-0.015
-0.225,-0.02
-0.225,-0.035
-0.23,-0.035
-0.23,-0.04
-0.225,-0.05
-0.225,-0.07
-0.23,-0.07
-0.24,-0.065
-0.245,-0.07
-0.23,-0.055
-0.235,-0.07
-0.23,-0.075
-0.245,-0.08
-0.25,-0.085
-0.23,-0.07
-0.235,-0.065
-0.23,-0.07
-0.235,-0.07
-0.25,-0.08
-0.245,-0.085
-0.245,-0.075
-0.235,-0.055
-0.24,-0.06
-0.23,-0.06
-0.235,-0.065
-0.245,-0.07
-0.235,-0.06
-0.23,-0.04
-0.225,-0.035
-0.22,-0.04
-0.22,-0.04
-0.235,-0.04
-0.23,-0.04
-0.22,-0.02
-0.205,-0.02
-0.225,-0.04
-0.23,-0.03
-0.23,-0.035
-0.23,-0.015
-0.215,-0.02
-0.215,-0.02
-0.22,-0.03
-0.235,-0.025
-0.24,-0.03
-0.235,-0.035
-0.23,-0.015
-0.225,-0.02
-0.23,-0.035
-0.25,-0.045
-0.255,-0.045
-0.245,-0.035
-0.24,-0.04
-0.24,-0.045
-0.24,-0.045
-0.255,-0.06
-0.255,-0.08
-0.26,-0.065
-0.245,-0.06
-0.245,-0.065
-0.25,-0.09
-0.265,-0.095
-0.275,-0.1
-0.27,-0.095
-0.25,-0.1
-0.255,-0.105
-0.27,-0.115
-0.275,-0.135
-0.285,-0.14
-0.285,-0.135
-0.265,-0.12
-0.275,-0.135
-0.275,-0.145
-0.28,-0.155
-0.29,-0.15
-0.275,-0.15
-0.275,-0.15
-0.265,-0.155
-0.275,-0.16
-0.29,-0.17
-0.305,-0.18
-0.3,-0.17
-0.29,-0.165
-0.285,-0.18
-0.285,-0.185
-0.295,-0.19
-0.305,-0.185
-0.29,-0.185
-0.295,-0.185
-0.275,-0.195
-0.275,-0.19
-0.305,-0.205
-0.295,-0.21
-0.3,-0.205
-0.285,-0.2
-0.28,-0.21
-0.29,-0.215
-0.305,-0.22
-0.3,-0.225
-0.305,-0.215
-0.29,-0.205
-0.295,-0.22
-0.29,-0.215
-0.305,-0.235
-0.31,-0.23
-0.31,-0.22
-0.29,-0.215
-0.29,-0.215
-0.3,-0.22
-0.295,-0.225
-0.305,-0.225
-0.3,-0.22
-0.295,-0.215
-0.29,-0.22
-0.29,-0.215
-0.295,-0.245
-0.3,-0.235
