MLII,V4
-1.0,-0.685
-1.0,-0.685
-1.0,-0.685
-1.0,-0.685
-1.0,-0.685
-1.0,-0.685
-1.0,-0.685
-0.985,-0.68
-0.97,-0.68
-0.97,-0.695
-0.97,-0.695
-0.97,-0.695
-0.98,-0.705
-0.975,-0.705
-0.975,-0.695
-0.985,-0.69
-0.98,-0.69
-0.97,-0.67
-0.975,-0.675
-0.955,-0.665
-0.945,-0.675
-0.95,-0.675
-0.965,-0.68
-0.95,-0.68
-0.955,-0.685
-0.96,-0.69
-0.96,-0.69
-0.965,-0.68
-0.97,-0.67
-0.965,-0.665
-0.95,-0.66
-0.95,-0.65
-0.925,-0.655
-0.93,-0.66
-0.94,-0.66
-0.935,-0.665
-0.94,-0.665
-0.95,-0.67
-0.965,-0.675
-0.96,-0.675
-0.95,-0.665
-0.955,-0.66
-0.94,-0.655
-0.945,-0.65
-0.925,-0.66
-0.925,-0.66
-0.93,-0.665
-0.93,-0.68
-0.935,-0.675
-0.945,-0.675
-0.95,-0.675
-0.95,-0.675
-0.945,-0.66
-0.94,-0.66
-0.935,-0.655
-0.92,-0.655
-0.92,-0.64
-0.92,-0.65
-0.915,-0.645
-0.915,-0.655
-0.92,-0.66
-0.92,-0.69
-0.93,-0.675
-0.93,-0.675
-0.95,-0.665
-0.955,-0.66
-0.93,-0.65
-0.915,-0.645
-0.905,-0.64
-0.9,-0.65
-0.91,-0.655
-0.92,-0.655
-0.925,-0.66
-0.925,-0.68
-0.925,-0.69
-0.92,-0.68
-0.93,-0.685
-0.935,-0.67
-0.92,-0.655
-0.905,-0.635
-0.905,-0.64
-0.895,-0.64
-0.9,-0.655
-0.905,-0.675
-0.915,-0.69
-0.92,-0.7
-0.91,-0.68
-0.92,-0.675
-0.925,-0.675
-0.91,-0.655
-0.915,-0.65
-0.9,-0.645
-0.895,-0.635
-0.9,-0.65
-0.9,-0.66
-0.905,-0.67
-0.91,-0.675
-0.91,-0.68
-0.92,-0.675
-0.92,-0.655
-0.92,-0.66
