MLII,V1
-6.115,-5.59
-6.115,-5.59
-6.115,-5.59
-6.115,-5.59
-6.115,-5.59
-6.115,-5.59
-6.115,-5.59
-6.135,-5.59
-6.105,-5.575
-6.105,-5.57
-6.09,-5.565
-6.095,-5.53
-6.09,-5.545
-6.11,-5.535
-6.12,-5.54
-6.14,-5.545
-6.145,-5.565
-6.15,-5.57
-6.165,-5.575
-6.145,-5.565
-6.155,-5.545
-6.135,-5.525
-6.135,-5.52
-6.115,-5.505
-6.11,-5.5
-6.11,-5.505
-6.115,-5.505
-6.125,-5.525
-6.125,-5.52
-6.135,-5.535
-6.13,-5.53
-6.11,-5.525
-6.14,-5.52
-6.13,-5.5
-6.135,-5.51
-6.12,-5.49
-6.11,-5.495
-6.115,-5.505
-6.13,-5.515
-6.125,-5.535
-6.135,-5.54
-6.115,-5.53
-6.125,-5.535
-6.125,-5.54
-6.105,-5.53
-6.105,-5.49
-6.1,-5.485
-6.08,-5.47
-6.06,-5.49
-6.08,-5.49
-6.06,-5.505
-6.065,-5.5
-6.065,-5.51
-6.06,-5.505
-6.07,-5.525
-6.055,-5.5
-6.035,-5.505
-6.025,-5.49
-6.01,-5.49
-5.995,-5.48
-5.98,-5.5
-5.985,-5.505
-5.98,-5.505
-5.965,-5.5
-5.97,-5.53
-5.97,-5.505
-5.96,-5.495
-5.94,-5.51
-5.925,-5.485
-5.895,-5.47
-5.875,-5.47
-5.845,-5.445
-5.825,-5.455
-5.805,-5.45
-5.79,-5.475
-5.79,-5.485
-5.78,-5.485
-5.77,-5.485
-5.75,-5.495
-5.725,-5.505
-5.72,-5.5
-5.68,-5.485
-5.65,-5.47
-5.64,-5.475
-5.615,-5.48
-5.595,-5.48
-5.59,-5.49
-5.57,-5.52
-5.57,-5.525
-5.565,-5.52
-5.555,-5.53
-5.545,-5.52
-5.535,-5.52
-5.505,-5.5
-5.49,-5.5
-5.485,-5.485
-5.485,-5.48
-5.47,-5.505
-5.49,-5.515
-5.515,-5.525
-5.54,-5.535
-5.565,-5.53
-5.59,-5.53
-5.61,-5.525
-5.645,-5.5
-5.67,-5.5
-5.675,-5.495
-5.71,-5.505
-5.735,-5.49
-5.77,-5.48
-5.805,-5.49
-5.86,-5.485
-5.885,-5.52
-5.92,-5.52
-5.95,-5.52
-5.965,-5.51
-5.97,-5.49
-5.985,-5.495
-5.995,-5.485
-5.99,-5.49
-5.985,-5.505
-5.99,-5.505
-6.01,-5.505
-6.025,-5.515
-6.045,-5.525
-6.05,-5.55
-6.065,-5.545
-6.07,-5.55
-6.055,-5.535
-6.05,-5.525
-6.05,-5.525
-6.045,-5.515
-6.05,-5.515
