noise1,noise2
-0.145,0.125
-0.16,0.12
-0.15,0.13
-0.15,0.11
-0.145,0.1
-0.15,0.105
-0.155,0.125
-0.16,0.13
-0.155,0.125
-0.135,0.115
-0.13,0.115
-0.13,0.125
-0.14,0.14
-0.14,0.125
-0.14,0.115
-0.13,0.12
-0.11,0.115
-0.115,0.11
-0.13,0.11
-0.13,0.115
-0.125,0.115
-0.115,0.11
-0.115,0.1
-0.11,0.105
-0.115,0.115
-0.135,0.115
-0.145,0.11
-0.14,0.105
-0.125,0.105
-0.13,0.105
-0.145,0.105
-0.155,0.105
-0.155,0.105
-0.125,0.105
-0.11,0.095
-0.105,0.095
-0.145,0.115
-0.16,0.12
-0.155,0.115
-0.14,0.115
-0.13,0.115
-0.125,0.105
-0.125,0.105
-0.115,0.105
-0.105,0.095
-0.105,0.085
-0.105,0.09
-0.115,0.105
-0.105,0.115
-0.1,0.095
-0.095,0.085
-0.105,0.095
-0.125,0.085
-0.125,0.085
-0.115,0.095
-0.11,0.1
-0.115,0.1
-0.13,0.09
-0.135,0.095
-0.135,0.1
-0.13,0.1
-0.125,0.095
-0.125,0.11
-0.125,0.1
-0.115,0.08
-0.13,0.09
-0.13,0.095
-0.12,0.085
-0.125,0.09
-0.13,0.1
-0.125,0.105
-0.125,0.11
-0.14,0.09
-0.15,0.09
-0.155,0.07
-0.14,0.09
-0.14,0.095
-0.155,0.08
-0.16,0.08
-0.15,0.08
-0.14,0.09
-0.15,0.095
-0.14,0.1
-0.135,0.1
-0.155,0.095
-0.155,0.095
-0.155,0.095
-0.165,0.085
-0.175,0.1
-0.185,0.105
-0.19,0.105
-0.185,0.105
-0.18,0.105
-0.185,0.105
-0.185,0.1
-0.195,0.105
-0.195,0.105
-0.18,0.08
-0.19,0.085
-0.185,0.095
-0.17,0.11
-0.17,0.1
-0.19,0.09
-0.215,0.085
-0.215,0.095
-0.2,0.11
-0.185,0.115
-0.19,0.12
-0.195,0.115
-0.215,0.115
-0.235,0.105
-0.22,0.105
-0.215,0.105
-0.21,0.115
-0.22,0.105
-0.23,0.09
-0.245,0.09
-0.255,0.13
-0.25,0.135
-0.235,0.135
-0.215,0.145
-0.21,0.14
-0.205,0.13
-0.21,0.115
-0.24,0.135
-0.26,0.14
-0.275,0.14
-0.27,0.125
-0.27,0.125
-0.28,0.145
-0.275,0.175
-0.26,0.155
-0.255,0.14
-0.28,0.15
-0.28,0.135
-0.29,0.13
