"EM noise, signal 0","EM noise, signal 1"
0.225,-0.235
0.21,-0.25
0.21,-0.26
0.205,-0.27
0.195,-0.275
0.19,-0.275
0.2,-0.265
0.2,-0.28
0.2,-0.275
0.195,-0.265
0.205,-0.265
0.205,-0.255
0.2,-0.25
0.195,-0.255
0.195,-0.255
0.2,-0.26
0.19,-0.25
0.19,-0.265
0.195,-0.27
0.21,-0.275
0.2,-0.275
0.19,-0.275
0.185,-0.265
0.185,-0.265
0.185,-0.255
0.18,-0.245
0.18,-0.245
0.185,-0.26
0.19,-0.27
0.18,-0.28
0.185,-0.28
0.18,-0.28
0.17,-0.28
0.175,-0.265
0.17,-0.26
0.16,-0.265
0.16,-0.265
0.18,-0.275
0.185,-0.28
0.18,-0.27
0.18,-0.255
0.175,-0.26
0.165,-0.28
0.165,-0.27
0.165,-0.28
0.17,-0.29
0.17,-0.28
0.16,-0.28
0.15,-0.285
0.14,-0.28
0.145,-0.28
0.15,-0.28
0.15,-0.27
0.15,-0.285
0.14,-0.285
0.135,-0.275
0.14,-0.275
0.145,-0.275
0.14,-0.27
0.145,-0.27
0.15,-0.265
0.145,-0.27
0.135,-0.28
0.125,-0.275
0.125,-0.265
0.135,-0.255
0.115,-0.275
0.11,-0.28
0.105,-0.28
0.11,-0.285
0.57,0.04
0.86,0.265
0.86,0.255
0.885,0.29
0.88,0.295
0.845,0.325
0.82,0.37
0.795,0.4
0.77,0.425
0.73,0.44
0.715,0.445
0.7,0.45
0.675,0.445
0.64,0.44
0.615,0.44
0.6,0.435
0.575,0.425
0.545,0.41
0.5,0.395
0.37,0.385
0.285,0.385
0.23,0.39
0.195,0.375
0.155,0.36
0.105,0.345
0.05,0.32
-0.005,0.285
-0.055,0.27
-0.1,0.28
-0.135,0.29
-0.165,0.295
-0.185,0.295
-0.19,0.315
-0.23,0.33
-0.275,0.34
-0.305,0.34
-0.345,0.34
-0.39,0.345
-0.375,0.345
-0.435,0.35
-0.435,0.355
-0.445,0.36
-0.455,0.36
-0.47,0.36
-0.495,0.345
-0.52,0.355
-0.54,0.36
-0.56,0.365
-0.57,0.365
-0.555,0.36
-0.545,0.365
-0.56,0.36
-0.58,0.34
-0.59,0.325
-0.585,0.315
-0.615,0.315
-0.64,0.31
-0.655,0.305
-0.655,0.325
-0.695,0.33
-0.725,0.335
-0.725,0.355
-0.71,0.355
-0.705,0.35
-0.715,0.35
-0.71,0.35
-0.705,0.35
-0.7,0.355
-0.695,0.355
-0.7,0.35
-0.71,0.34
-0.715,0.34
-0.71,0.33
-0.7,0.32
-0.7,0.32
-0.705,0.335
-0.695,0.335
-0.675,0.355
-0.66,0.32
-0.655,0.305
-0.67,0.31
-0.685,0.3
-0.69,0.295
-0.685,0.3
-0.67,0.295
-0.66,0.29
-0.65,0.295
-0.65,0.285
-0.66,0.28
-0.665,0.275
-0.67,0.265
-0.65,0.265
-0.63,0.26
-0.62,0.26
-0.63,0.27
-0.625,0.275
-0.61,0.275
-0.585,0.275
-0.56,0.26
-0.555,0.25
-0.57,0.255
-0.57,0.255
-0.59,0.255
-0.61,0.26
-0.605,0.25
-0.585,0.25
-0.565,0.255
-0.545,0.25
-0.515,0.245
-0.495,0.235
-0.495,0.25
-0.48,0.205
-0.485,0.21
-0.51,0.21
-0.55,0.21
-0.585,0.205
-0.61,0.2
-0.615,0.18
-0.625,0.18
-0.62,0.19
-0.565,0.19
-0.55,0.165
